Province,City,CityID,coord.x,coord.y,EE
安徽省,安庆市,0,117.02,30.31,0.208460565
安徽省,蚌埠市,1,117.21,32.56,0.21310066
安徽省,亳州市,2,115.47,33.52,0.2093491
安徽省,池州市,4,117.48,30.67,0.216111127
安徽省,滁州市,5,118.18,32.18,0.219530311
安徽省,阜阳市,6,115.48,32.54,0.205831857
安徽省,合肥市,7,117.17,31.52,0.214522564
安徽省,淮北市,8,116.47,33.57,0.208149464
安徽省,淮南市,9,116.58,32.37,0.210753677
安徽省,黄山市,10,118.18,29.43,0.220524603
安徽省,六安市,11,116.28,31.44,0.206140067
安徽省,马鞍山市,12,118.507,31.67044,0.225348729
安徽省,铜陵市,13,117.48,30.56,0.215727355
安徽省,芜湖市,14,118.22,31.19,0.224916928
安徽省,宿州市,15,116.58,33.38,0.208778749
安徽省,宣城市,16,118.75,30.95,0.231410992
北京市,北京市,17,116.24,39.55,0.156174829
福建省,福州市,19,119.18,26.05,0.198072532
福建省,龙岩市,20,117.01,25.06,0.144040716
福建省,南平市,21,118.1,26.38,0.181716358
福建省,宁德市,22,119.31,26.39,0.207223316
福建省,莆田市,23,119.01,24.26,0.159110098
福建省,泉州市,24,118.36,24.56,0.153953251
福建省,三明市,25,117.36,26.13,0.16507593
福建省,厦门市,26,118.06,24.27,0.144590725
福建省,漳州市,27,117.39,24.31,0.137294425
甘肃省,白银市,28,104.12,36.33,0.131881986
甘肃省,定西市,29,104.62,35.58,0.14611168
甘肃省,嘉峪关市,31,98.14,39.48,0.153854727
甘肃省,金昌市,32,102.1,38.28,0.102697402
甘肃省,酒泉市,33,98.31,39.44,0.151484348
甘肃省,兰州市,34,103.51,36.04,0.128776023
甘肃省,陇南市,36,104.92,33.4,0.154791955
甘肃省,平凉市,37,106.4,35.32,0.175719961
甘肃省,庆阳市,38,107.63,35.73,0.198365871
甘肃省,天水市,39,105.42,34.37,0.162783194
甘肃省,武威市,40,102.39,37.56,0.107934347
甘肃省,张掖市,41,100.26,38.56,0.123124641
广东省,潮州市,42,116.38,23.4,0.118731964
广东省,东莞市,43,113.45,23.02,0.10866371
广东省,佛山市,44,113.06,23.02,0.107825908
广东省,广州市,45,113.14,23.08,0.108094931
广东省,河源市,46,114.41,23.43,0.11225499
广东省,惠州市,47,114.22,23.05,0.110247611
广东省,江门市,48,113.04,22.35,0.107358537
广东省,揭阳市,49,116.21,22.32,0.10965886
广东省,茂名市,50,110.53,21.4,0.106128334
广东省,梅州市,51,116.07,24.19,0.124920956
广东省,清远市,52,113.01,23.42,0.1083557
广东省,汕头市,53,116.41,23.22,0.117180759
